CARD,DISC,HACK,INSD,PHYS,PORT,STAT,Index,Type
0.000684032,0.12768915,0.00674451,0.8253292,0.031982258,3.35E-05,0.007537312,3,INSD
0.40495422,0.011078944,0.07240338,0.3612902,0.022129146,0.000222677,0.12792145,4,CARD
0.004150298,0.006605886,0.048453536,0.9297398,0.00682173,1.21E-06,0.004227521,5,INSD
0.001092131,0.009559927,0.0239067,0.9588748,0.004710571,8.72E-07,0.001855055,6,INSD
0.000418688,0.021717904,0.012411168,0.95894367,0.004982384,1.11E-06,0.00152502,7,INSD
0.002405345,0.017823137,0.02325539,0.9384725,0.010221974,5.85E-06,0.007815821,8,INSD
0.002005979,0.08240325,0.011312783,0.84826946,0.039729923,5.84E-05,0.016220167,9,INSD
0.004667258,0.016570583,0.029233284,0.9245481,0.011901369,8.96E-06,0.013070449,14,INSD
0.00487551,0.025028637,0.024538338,0.90508515,0.020475442,2.34E-05,0.019973466,15,INSD
0.9510685,0.000476883,0.02752848,0.015254735,0.000566411,1.16E-05,0.005093405,18,CARD
0.002282638,0.008606663,0.032788835,0.9466002,0.006436466,1.37E-06,0.003283913,20,INSD
0.00450551,0.02597042,0.023592917,0.9067257,0.020201303,2.35E-05,0.018980648,24,INSD
0.010378987,0.022370901,0.03240435,0.85354954,0.06629485,5.23E-05,0.014949127,25,INSD
0.003064152,0.01777241,0.025127295,0.9323051,0.012898808,7.69E-06,0.008824619,27,INSD
0.001215726,0.010503066,0.023793872,0.9569468,0.005284747,1.15E-06,0.002254741,29,INSD
0.000551367,0.44976065,0.001138893,0.22268733,0.31444648,0.001041653,0.010373618,30,DISC
9.65E-05,0.36402816,0.002248205,0.5634883,0.06939717,1.74E-05,0.000724228,36,INSD
6.07E-08,0.9805762,2.75E-06,0.011509882,0.007887811,7.50E-06,1.57E-05,37,DISC
0.00847053,0.022810902,0.030332,0.8817052,0.028669897,3.50E-05,0.027976481,38,INSD
0.15155064,0.004614176,0.26298082,0.55492043,0.00854418,2.61E-06,0.01738715,39,INSD
0.004829967,0.015373478,0.03107577,0.9246823,0.011763519,8.02E-06,0.012266902,40,INSD
0.008189186,0.009959264,0.044862468,0.9138817,0.011412225,5.66E-06,0.011689455,41,INSD
8.26E-05,0.4916388,0.001236347,0.45880222,0.045774627,4.85E-05,0.002416882,47,DISC
0.000255475,0.07221587,0.006704197,0.90648603,0.012699966,4.22E-06,0.001634141,52,INSD
0.004911876,0.00387156,0.23341705,0.75164074,0.004439455,1.96E-07,0.001719078,58,INSD
0.028547013,0.011127939,0.06883408,0.8528182,0.014954248,1.37E-05,0.023704965,60,INSD
0.001091973,0.21214141,0.000195804,0.023791434,0.71039313,0.017724128,0.034662083,61,PHYS
0.00194565,0.041463625,0.015300746,0.91095483,0.019307943,1.86E-05,0.011008703,62,INSD
0.008729149,0.010020156,0.04586035,0.91094804,0.012288601,6.19E-06,0.012147577,63,INSD
0.005327176,0.010779285,0.03927163,0.9238618,0.011512222,4.58E-06,0.009243249,65,INSD
0.003985679,0.025770614,0.022566382,0.9117188,0.017615683,1.99E-05,0.018323015,66,INSD
0.002514105,0.008409477,0.034706585,0.9443909,0.006392229,1.40E-06,0.003585418,67,INSD
9.52E-05,3.15E-06,0.9991027,0.000786033,6.51E-06,1.88E-11,6.38E-06,69,HACK
0.001612334,0.010436487,0.025985893,0.9529047,0.006009628,1.45E-06,0.003049482,71,INSD
0.005977519,0.024732001,0.026423717,0.8963193,0.022251688,2.75E-05,0.024268242,76,INSD
0.004688967,0.1750996,0.003464993,0.24378555,0.53464824,0.002583324,0.03572935,77,PHYS
0.001849732,0.001742368,0.5164176,0.47783148,0.001647144,3.04E-08,0.000511616,79,HACK
2.82E-05,2.22E-07,0.99993026,3.93E-05,7.31E-07,1.19E-12,1.17E-06,81,HACK
0.000376271,0.010187366,0.016072268,0.96968174,0.003009178,3.37E-07,0.000672834,82,INSD
0.003250328,0.006422166,0.0458944,0.93477184,0.00708414,9.30E-07,0.0025761,83,INSD
0.000860402,0.2876326,0.00361395,0.52741146,0.17130317,0.00027269,0.008905686,88,INSD
0.001416173,0.011256404,0.023864696,0.95431703,0.006496049,1.58E-06,0.002648086,89,INSD
1.33E-05,0.7653787,2.09E-05,0.0166632,0.21528222,0.001314541,0.001327204,91,DISC
0.000543085,0.015386749,0.016233576,0.96206266,0.004389656,7.77E-07,0.001383508,95,INSD
0.00074185,0.33751,0.000369594,0.05951779,0.5762413,0.005722523,0.01989698,96,PHYS
0.02135547,0.01922174,0.03948615,0.84576625,0.023895478,5.32E-05,0.050221696,99,INSD
0.001385333,0.02582615,0.016576665,0.9382347,0.013360609,6.71E-06,0.004609827,101,INSD
0.017801763,0.019343954,0.03839329,0.861086,0.023805724,4.62E-05,0.039522983,102,INSD
0.00075105,0.009332267,0.021008017,0.9638533,0.003724076,5.89E-07,0.001330664,104,INSD
0.000751255,0.25537306,0.004663587,0.6615285,0.06462908,0.000115783,0.012938707,106,INSD
0.006871199,0.016347025,0.03285087,0.9132076,0.014749081,1.30E-05,0.015961139,108,INSD
0.01235269,1.68E-05,0.98527074,0.00206117,5.78E-05,2.04E-09,0.000240764,110,HACK
0.47422442,0.000909254,0.4170714,0.093925826,0.002395592,1.12E-06,0.011472424,111,CARD
0.010763579,3.59E-05,0.9833718,0.005377642,0.000127351,4.00E-09,0.000323708,112,HACK
0.032085784,0.022632021,0.040141586,0.74167216,0.082543045,0.000178312,0.08074711,116,INSD
0.003518073,0.004502772,0.11985884,0.8663076,0.004088416,2.28E-07,0.001724112,121,INSD
1.72E-05,0.7691765,0.000238786,0.17055385,0.059140135,7.01E-05,0.000803528,122,DISC
0.002312054,0.006867312,0.03820657,0.9445798,0.005644174,8.33E-07,0.002389313,123,INSD
0.001743412,0.18316783,0.000704535,0.06686835,0.7226773,0.00552325,0.019315295,124,PHYS
0.001076753,0.001072066,0.6965569,0.30011645,0.000892351,1.29E-08,0.000285441,127,HACK
0.002588913,0.02990646,0.020137105,0.91948664,0.017605988,1.38E-05,0.010261089,129,INSD
0.004737571,0.023637358,0.025725642,0.9091046,0.019548772,2.04E-05,0.01722558,130,INSD
0.004214427,0.008626319,0.040198237,0.93256915,0.008149413,2.30E-06,0.006239985,133,INSD
0.001104809,0.014682948,0.019028768,0.95573014,0.006478979,2.06E-06,0.002972238,136,INSD
0.002692999,0.009111919,0.033755925,0.942941,0.007609656,1.82E-06,0.003886632,138,INSD
0.001825097,0.017335724,0.021873228,0.94461,0.008714014,3.96E-06,0.005637939,146,INSD
0.000361305,0.000651173,0.77804935,0.22040546,0.000430794,3.88E-09,0.000101916,151,HACK
0.014858943,0.10784721,0.008587082,0.36372918,0.40062916,0.002327179,0.1020212,152,PHYS
0.08880006,0.024865171,0.040469658,0.66268057,0.048190624,0.000460788,0.13453318,155,INSD
0.000827061,0.044453736,0.01157471,0.9251752,0.013217769,7.65E-06,0.004743879,156,INSD
8.11E-05,0.070177115,0.004836459,0.9185745,0.005743969,1.01E-06,0.000585824,157,INSD
0.002092204,0.000990219,0.74646044,0.24892586,0.001076059,1.80E-08,0.000455155,161,HACK
0.004558839,0.025572935,0.023809405,0.90685225,0.01911317,2.24E-05,0.020071127,165,INSD
0.014620107,0.10372913,0.011375315,0.5059823,0.2197646,0.001572635,0.14295596,166,INSD
0.001379002,6.12E-06,0.9976922,0.000850133,2.17E-05,2.64E-10,5.09E-05,168,HACK
0.001283201,0.018389689,0.019347379,0.94931954,0.007608409,2.95E-06,0.004048927,169,INSD
0.000803469,0.006274073,0.026003364,0.962925,0.003092439,2.95E-07,0.000901263,172,INSD
2.11E-05,0.10772145,0.00254648,0.88497734,0.004541,4.53E-07,0.000192172,173,INSD
0.001173019,0.14099109,0.007345173,0.78018063,0.059188724,7.77E-05,0.011043739,174,INSD
0.000186199,7.64E-06,0.9977925,0.001984848,1.51E-05,5.87E-11,1.37E-05,178,HACK
0.000187681,0.004776329,0.02552424,0.9679584,0.001368093,4.68E-08,0.000185253,183,INSD
0.001311849,0.001710758,0.5615043,0.4336789,0.00139488,2.59E-08,0.000399319,184,HACK
0.000427213,0.014986033,0.014728257,0.9635093,0.005604412,7.06E-07,0.000744072,186,INSD
0.00597652,0.001210155,0.7137415,0.27611202,0.001901833,4.35E-08,0.001057981,187,HACK
5.98E-05,4.14E-07,0.9998566,7.94E-05,1.47E-06,2.86E-12,2.36E-06,189,HACK
0.013564808,0.012409489,0.045162674,0.8943946,0.01460279,1.40E-05,0.019851694,191,INSD
